,tick,liquidity_net,liquidity_gross,liquidity_shape,liquidity,price,virtual_ratio,virtual_ratio_upper,ratio,ratio_upper,token0_underlying_virtual,token1_underlying_virtual,token0_underlying,token1_underlying
361,75290,-335127785140834420330,335170122278322156852,-223499212495196488839936,129897420716072524147885,1860.542842800009063760762710,1860.542842800009063760762710,1862.404223110392550053260753,1860.542842800009063760762710,1862.404223110392550053260753,0,2802058695930639586806.970629,0,2802.058695930639586806970629
362,75300,0,0,-223499212495196488839936,129897420716072524147885,1862.404223110392550053260753,1862.404223110392550053260753,1864.267465638930964235543731,1862.404223110392550053260753,1864.267465638930964235543731,0,2803460005512496487681.006462,0,2803.460005512496487681006462
363,75310,0,0,-223499212495196488839936,129897420716072524147885,1864.267465638930964235543731,1864.267465638930964235543731,1866.132572248680682910508846,1864.267465638930964235543731,1866.132572248680682910508846,0,2804862015889289288987.659037,0,2804.862015889289288987659037
364,75320,0,0,-223499212495196488839936,129897420716072524147885,1866.132572248680682910508846,1866.132572248680682910508846,1867.999544804561977656631561,1866.132572248680682910508846,1867.999544804561977656631561,0,2806264727411485545179.031073,0,2806.264727411485545179031073
365,75330,3417501816278282922504,3417631279733575490370,-220081710678918205917432,133314922532350807070389,1867.999544804561977656631561,1867.999544804561977656631561,1869.868385173360879761917627,1867.999544804561977656631561,1869.868385173360879761917627,0,2881535742392343692975.037601,0,2881.535742392343692975037601
366,75340,0,0,-220081710678918205917432,133314922532350807070389,1869.868385173360879761917627,1869.868385173360879761917627,1871.739095223731046823428409,1869.868385173360879761917627,1871.739095223731046823428409,0,2882976798445930902276.502365,0,2882.976798445930902276502365
367,75350,69507539883760534363,69507539883760534363,-220012203139034445383069,133384430072234567604752,1871.739095223731046823428409,1871.739095223731046823428409,1873.611676826195631214245939,1871.739095223731046823428409,1873.611676826195631214245939,0,2885922449121758938465.987625,0,2885.922449121758938465987625
368,75360,11382641397587959995555,11382641397587959995555,-208629561741446485387514,144767071469822527600307,1873.611676826195631214245939,1873.611676826195631214245939,1875.486131853149150419745964,1873.611676826195631214245939,1875.486131853149150419745964,0,3133765134922908022471.318092,0,3133.765134922908022471318092
369,75370,4933989331354363783323,4933989331354363783323,-203695572410092121604191,149701060801176891383630,1875.486131853149150419745964,1875.486131853149150419745964,1877.362462178859359245049140,1875.486131853149150419745964,1877.362462178859359245049140,0,3242191550428175718578.887218,0,3242.191550428175718578887218
370,75380,36800206326834752656,36800206326834752656,-203658772203765286851535,149737861007503726136286,1877.362462178859359245049140,1877.362462178859359245049140,1879.240669679469123895522402,1877.362462178859359245049140,1879.240669679469123895522402,0,3244610379544520188825.739649,0,3244.610379544520188825739649
371,75390,-43030054228003353359,43030054228003353359,-203701802257993290204894,149694830953275722782927,1879.240669679469123895522402,1879.240669679469123895522402,1881.120756232998297932204391,1879.240669679469123895522402,1881.120756232998297932204391,0,3245300141738661226593.559606,0,3245.300141738661226593559606
372,75400,-5104309774502981300,43449912612844226060,-203706906567767793186194,149689726643501219801627,1881.120756232998297932204391,1881.120756232998297932204391,1883.002723719345600104030718,1881.120756232998297932204391,1883.002723719345600104030718,0,3246812402452925353845.583788,0,3246.812402452925353845583788
373,75410,-163899296140266600079,163899445724694093743,-203870805863908059786273,149525827347360953201548,1883.002723719345600104030718,1883.002723719345600104030718,1884.886574020290494058736690,1883.002723719345600104030718,1884.886574020290494058736690,0,3244879333527592232488.687462,0,3244.879333527592232488687462
374,75420,-4909951034236872821404,4909951034236872821404,-208780756898144932607677,144615876313124080380144,1884.886574020290494058736690,1884.886574020290494058736690,1886.772309019495069934317054,1884.886574020290494058736690,1886.772309019495069934317054,0,3139897328390866875020.305139,0,3139.897328390866875020305139
375,75430,0,0,-208780756898144932607677,144615876313124080380144,1886.772309019495069934317054,1886.772309019495069934317054,1888.659930602505927832924123,1886.772309019495069934317054,1888.659930602505927832924123,0,3141467591076195690808.474326,0,3141.467591076195690808474326
376,75440,175244456753226390944,714188864017928772628,-208605512441391706216733,144791120769877306771088,1888.659930602505927832924123,1888.659930602505927832924123,1890.549440656756063179087602,1888.659930602505927832924123,1890.549440656756063179087602,0,3146847350187973280269.686284,0,3146.847350187973280269686284
