,net_value,ETH,USDC,uni_market_net_value,uni_market_base_uncollected,uni_market_quote_uncollected,uni_market_base_in_position,uni_market_quote_in_position,uni_market_position_count
2024-01-01 02:06:00,2288653.684940913406085477564,164.6294325293977221412985015,0,1910289.395446206649668697805,5.573159420036386166269910489,0.01448765131839543267428183244,1084992.429423228240637294725,359.0766249374784090810852964,1
2024-01-01 02:07:00,2288653.723616188086623317073,164.6294325293977221412985015,0,1910289.434121481330206537314,5.611834694716924005778876100,0.01448765131839543267428183244,1084992.429423228240637294725,359.0766249374784090810852964,1
2024-01-01 02:08:00,2288653.764043681125164397560,164.6294325293977221412985015,0,1910289.474548974368747617801,5.652262187755465086265728844,0.01448765131839543267428183244,1084992.429423228240637294725,359.0766249374784090810852964,1
2024-01-01 02:09:00,2288775.106527716874395483955,164.6294325293977221412985015,0,1910372.980604060647303062518,6.766844239682985531036020412,0.01448765131839543267428183244,1087745.823294728438533263045,357.8786603821645677818654276,1
2024-01-01 02:10:00,2288775.404396182482902654155,164.6294325293977221412985015,0,1910373.278472526255810232718,6.836492109560551134253935963,0.01458694205857030745350794742,1087745.823294728438533263045,357.8786603821645677818654276,1
2024-01-01 02:11:00,2288775.435467903051789694625,164.6294325293977221412985015,0,1910373.309544246824697273188,6.836492109560551134253935963,0.01460046026942200842850804150,1087745.823294728438533263045,357.8786603821645677818654276,1
2024-01-01 02:12:00,2288775.502737988453385939474,164.6294325293977221412985015,0,1910373.376814332226293518037,6.870287636689803571754171175,0.01461502387029791909252353870,1087745.823294728438533263045,357.8786603821645677818654276,1
2024-01-01 02:13:00,2288775.581178691024974557661,164.6294325293977221412985015,0,1910373.455255034797882136224,6.877046742115654059254218217,0.01464621000761704353980414535,1087745.823294728438533263045,357.8786603821645677818654276,1
2024-01-01 02:14:00,2288775.766186290684174120448,164.6294325293977221412985015,0,1910373.640262634457081699011,7.062054341774853622041274654,0.01464621000761704353980414535,1087745.823294728438533263045,357.8786603821645677818654276,1
2024-01-01 02:15:00,2288775.980377294034089559082,164.6294325293977221412985015,0,1910373.854453637806997137645,7.127003757604163108998992129,0.01471113976403247336532536861,1087745.823294728438533263045,357.8786603821645677818654276,1
2024-01-01 02:16:00,2288776.171208037078532078172,164.6294325293977221412985015,0,1910374.045284380851439656735,7.265751443575743375322729104,0.01473379926709253666692395574,1087745.823294728438533263045,357.8786603821645677818654276,1
2024-01-01 02:17:00,2287695.512281668503101231015,164.6294325293977221412985015,0,1909633.778052804525708959885,7.347580032692320294720491618,0.01943050517899991684679809125,1062970.233610435520587246445,368.6624979138618408961333649,1
2024-01-01 02:18:00,2287695.795002780787619326010,164.6294325293977221412985015,0,1909634.060773916810227054880,7.432990683538757930256227563,0.01951642529827599459397215073,1062970.233610435520587246445,368.6624979138618408961333649,1
2024-01-01 02:19:00,2287819.588413940459905806427,164.6294325293977221412985015,0,1909720.048011653596115796070,8.807870633653546781491547076,0.01955314348370156089942964596,1065722.526399671447311982994,367.4640541008432087635456404,1
2024-01-01 02:20:00,2287819.631475341234606985590,164.6294325293977221412985015,0,1909720.091073054370816975233,8.850932034428247960655327027,0.01955314348370156089942964596,1065722.526399671447311982994,367.4640541008432087635456404,1
2024-01-01 02:21:00,2287819.705825500918962348091,164.6294325293977221412985015,0,1909720.165423214055172337734,8.925282194112603323155844493,0.01955314348370156089942964596,1065722.526399671447311982994,367.4640541008432087635456404,1
2024-01-01 02:22:00,2287819.724409306163939189288,164.6294325293977221412985015,0,1909720.184007019300149178931,8.943865999357580164352610583,0.01955314348370156089942964596,1065722.526399671447311982994,367.4640541008432087635456404,1
2024-01-01 02:23:00,2287819.725461342133159733803,164.6294325293977221412985015,0,1909720.185059055269369723446,8.944918035326800708867637655,0.01955314348370156089942964596,1065722.526399671447311982994,367.4640541008432087635456404,1
2024-01-01 02:24:00,2287699.564315168947885185214,164.6294325293977221412985015,0,1909637.830086304970492914084,8.944918035326800708867637655,0.02049941824332062914943623188,1062970.233610435520587246445,368.6624979138618408961333649,1
2024-01-01 02:25:00,2287703.192203648165174823032,164.6294325293977221412985015,0,1909641.457974784187782551902,9.360982486989851904597884086,0.02189802783315139365222955283,1062970.233610435520587246445,368.6624979138618408961333649,1
2024-01-01 02:26:00,2287703.603237071385983860817,164.6294325293977221412985015,0,1909641.869008207408591589687,9.360982486989851904597884086,0.02207701500135417675968634232,1062970.233610435520587246445,368.6624979138618408961333649,1
2024-01-01 02:27:00,2287581.377169637039770814946,164.6294325293977221412985015,0,1909557.445333956630419478949,9.488423028429509062013216952,0.02218338340612102936951006287,1060218.078425518817715456776,369.8610016475731440921116632,1
